Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Low salt adherence diet,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:168115,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
Overall treatment adherence,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:164075,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
Ability to titrate treatment,Coded,yes | no | unknown,radio,No,Only for followup,PIH:14741,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
Missed doses in past week,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:167819,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
Number of missed doses in past week,Numeric,N/A,number,No,Shown if Missed doses in past week is yes,CIEL:167918,,Heart failure followup indicators,PIH:14724
On ACE inhibitors,Coded,yes | no,radio,No,Only for followup,PIH:14531,CIEL:1065|CIEL:1066,Heart failure followup indicators,PIH:14724
On beta-blockers,Coded,yes | no,radio,No,Only for followup,PIH:14723,CIEL:1065|CIEL:1066,Heart failure followup indicators,PIH:14724
On spironolactone,Coded,yes | no,radio,No,Only for followup,PIH:14811,CIEL:1065|CIEL:1066,Heart failure followup indicators,PIH:14724
Endocarditis prevention therapy,Coded,yes | no | unknown | not indicated,radio,No,Only for followup,PIH:14739,PIH:YES|PIH:NO|PIH:UNKNOWN|PIH:NOT INDICATED,Heart failure followup indicators,PIH:14724
Aware and understands the disease,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:167021,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
Disease control,Coded,controlled | uncontrolled | complications,radio,No,Only for followup,PIH:11506,PIH:11507|PIH:11508|PIH:11509,Heart failure followup indicators,PIH:14724
Send for admission,Coded,yes | no | unknown,radio,No,Shown if Disease control is uncontrolled,CIEL:1788,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
Patient condition improved,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:1898,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
Refer for surgery evaluation,Coded,yes | no | unknown,radio,No,Only for followup,PIH:14738,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
Echocardiogram improvement,Coded,yes | no | unknown,radio,No,Only for followup,PIH:14740,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
For rheumatic heart disease on secondary antibiotic prophylaxis,Coded,yes | no,radio,No,Only for followup,PIH:15168,CIEL:1065|CIEL:1066,Heart failure followup indicators,PIH:14724
NYHA classification,Coded,I (No limitations) | II (Comfortable with moderate exercise) | III (Comfortable resting) | IV (Not comfortable resting),radio,Yes,No,PIH:NYHA CLASS,PIH:NYHA CLASS 1|PIH:NYHA CLASS 2|PIH:NYHA CLASS 3|PIH:NYHA CLASS 4,,
Cardiology referral completed,Coded,yes | no,radio,No,No,PIH:Fulfillment status,CIEL:1267|CIEL:160068,Cardiology referral,PIH:6329
Date of cardiology referral,Date,N/A,date,No,Shown if Cardiology referral completed is yes,CIEL:163181,,Cardiology referral,PIH:6329
Cardiac surgery scheduled,Coded,yes | no,radio,No,No,PIH:Scheduled surgery,CIEL:1065|CIEL:1066,Cardiac surgery,PIH:14725
Cardiac surgery performed,Coded,Cardiac surgery performed,checkbox,No,No,CIEL:1651,PIH:7827,Cardiac surgery performed,CIEL:160714
Post-surgical status,Coded,Alive | Dead | Unknown,radio,No,Shown if Cardiac surgery performed is yes,PIH:7887,PIH:15165|PIH:15166|PIH:15167,Cardiac surgery performed,CIEL:160714
Date of surgery,Date,N/A,date,No,Shown if Cardiac surgery performed is yes,CIEL:160715,,Cardiac surgery performed,CIEL:160714
Surgery complications,Text,N/A,text,No,Shown if Cardiac surgery performed is yes,CIEL:160716,,Cardiac surgery performed,CIEL:160714
Remarks,Text,N/A,text,No,No,PIH:11973,,,
